Crop,Year,Season,State,Production,Annual_Rainfall,Yield
Rice,1997,Kharif     ,Andhra Pradesh,5218300,927.5,1.99173913
Rice,1997,Rabi       ,Andhra Pradesh,3291700,927.5,2.64
Sesamum,1997,Kharif     ,Andhra Pradesh,6900,927.5,0.181333333
Sesamum,1997,Rabi       ,Andhra Pradesh,8800,927.5,0.109375
Small millets,1997,Kharif     ,Andhra Pradesh,2000,927.5,0.17
Small millets,1997,Rabi       ,Andhra Pradesh,200,927.5,0.075
Sugarcane,1997,Kharif     ,Andhra Pradesh,13953300,927.5,77.1065
Sunflower,1997,Kharif     ,Andhra Pradesh,129700,927.5,0.495263158
Sunflower,1997,Rabi       ,Andhra Pradesh,53800,927.5,0.402307692
Tobacco,1997,Kharif     ,Andhra Pradesh,201600,927.5,1.116666667
Urad,1997,Kharif     ,Andhra Pradesh,24700,927.5,0.2525
Urad,1997,Rabi       ,Andhra Pradesh,190700,927.5,0.388125
Wheat,1997,Rabi       ,Andhra Pradesh,6000,927.5,0.55375
Arhar/Tur,1997,Kharif     ,Bihar,83722,1303.7,1.186363636
Bajra,1997,Kharif     ,Bihar,3594,1303.7,0.603225806
Banana,1997,Whole Year ,Bihar,440763,1303.7,24.0412
Barley,1997,Rabi       ,Bihar,44140,1303.7,1.04
Castor seed,1997,Kharif     ,Bihar,761,1303.7,0.781538462
Coriander,1997,Whole Year ,Bihar,1509,1303.7,0.462051282
Cotton(lint),1997,Kharif     ,Bihar,400,1303.7,2
Dry chillies,1997,Whole Year ,Bihar,4450,1303.7,0.881777778
Garlic,1997,Whole Year ,Bihar,4095,1303.7,1.317560976
Ginger,1997,Kharif     ,Bihar,887,1303.7,1.321428571
Gram,1997,Rabi       ,Bihar,91316,1303.7,0.805471698
Groundnut,1997,Kharif     ,Bihar,6294,1303.7,1.125384615
Jowar,1997,Kharif     ,Bihar,2690,1303.7,0.874761905
Jute,1997,Kharif     ,Bihar,1327863,1303.7,8.642631579
Linseed,1997,Rabi       ,Bihar,33814,1303.7,0.555471698
Maize,1997,Kharif     ,Bihar,456375,1303.7,1.260185185
Maize,1997,Rabi       ,Bihar,546011,1303.7,2.803555556
Maize,1997,Summer     ,Bihar,307134,1303.7,2.025192308
Mesta,1997,Kharif     ,Bihar,135202,1303.7,8.318387097
Niger seed,1997,Kharif     ,Bihar,15643,1303.7,0.617058824
Onion,1997,Whole Year ,Bihar,137869,1303.7,7.817272727
Other  Rabi pulses,1997,Rabi       ,Bihar,3950,1303.7,0.701836735
Other Kharif pulses,1997,Kharif     ,Bihar,9337,1303.7,0.572830189
Potato,1997,Whole Year ,Bihar,1465659,1303.7,8.929636364
Ragi,1997,Whole Year ,Bihar,64976,1303.7,0.8998
Rapeseed &Mustard,1997,Rabi       ,Bihar,82367,1303.7,0.718909091
Rice,1997,Autumn     ,Bihar,892725,1303.7,1.102244898
Rice,1997,Summer     ,Bihar,236446,1303.7,1.683265306
Rice,1997,Winter     ,Bihar,6004120,1303.7,1.354363636
Safflower,1997,Rabi       ,Bihar,302,1303.7,0.653636364
Sannhamp,1997,Whole Year ,Bihar,2282,1303.7,0.583095238
Sesamum,1997,Kharif     ,Bihar,10580,1303.7,0.605217391
Small millets,1997,Kharif     ,Bihar,20296,1303.7,0.777916667
Sugarcane,1997,Whole Year ,Bihar,4939899,1303.7,50.18152174
Sunflower,1997,Rabi       ,Bihar,11389,1303.7,0.824761905
Sweet potato,1997,Whole Year ,Bihar,186123,1303.7,13.03461538
Tobacco,1997,Rabi       ,Bihar,14763,1303.7,0.755263158
Turmeric,1997,Whole Year ,Bihar,3216,1303.7,1.173333333
Wheat,1997,Rabi       ,Bihar,4048699,1303.7,1.811090909
Arhar/Tur,1997,Kharif     ,Gujarat,296200,798.9,0.778421053
Bajra,1997,Kharif     ,Gujarat,1114500,798.9,1.218235294
Bajra,1997,Summer     ,Gujarat,380400,798.9,2.135
Banana,1997,Whole Year ,Gujarat,1108400,798.9,55.276
Castor seed,1997,Kharif     ,Gujarat,26000,798.9,2.32
Castor seed,1997,Whole Year ,Gujarat,660500,798.9,2.29625
Cotton(lint),1997,Whole Year ,Gujarat,3180200,798.9,2.254117647
Dry chillies,1997,Kharif     ,Gujarat,21300,798.9,1.115
Garlic,1997,Whole Year ,Gujarat,133900,798.9,6.340909091
Gram,1997,Rabi       ,Gujarat,98700,798.9,0.752941176
Groundnut,1997,Kharif     ,Gujarat,2453600,798.9,1.22
Groundnut,1997,Summer     ,Gujarat,162200,798.9,1.562631579
Jowar,1997,Kharif     ,Gujarat,163800,798.9,0.838666667
Jowar,1997,Rabi       ,Gujarat,64800,798.9,0.890769231
Maize,1997,Whole Year ,Gujarat,659000,798.9,1.690666667
Moong(Green Gram),1997,Kharif     ,Gujarat,101300,798.9,0.596111111
Moth,1997,Kharif     ,Gujarat,24100,798.9,0.603571429
Onion,1997,Whole Year ,Gujarat,615900,798.9,30.12733333
Other  Rabi pulses,1997,Rabi       ,Gujarat,1800,798.9,0.622857143
Other Kharif pulses,1997,Kharif     ,Gujarat,7400,798.9,0.498461538
Potato,1997,Whole Year ,Gujarat,623900,798.9,21.167
Ragi,1997,Whole Year ,Gujarat,17900,798.9,0.96
Rapeseed &Mustard,1997,Rabi       ,Gujarat,350000,798.9,1.064375
Rice,1997,Whole Year ,Gujarat,1042300,798.9,1.665
Sesamum,1997,Whole Year ,Gujarat,177000,798.9,0.635294118
Small millets,1997,Kharif     ,Gujarat,6300,798.9,0.438
Sugarcane,1997,Whole Year ,Gujarat,11832000,798.9,72.99533333
Tobacco,1997,Whole Year ,Gujarat,183900,798.9,1.6025
Urad,1997,Kharif     ,Gujarat,83700,798.9,0.654705882
Wheat,1997,Rabi       ,Gujarat,1647100,798.9,2.36
Arhar/Tur,1997,Kharif     ,Madhya Pradesh,251800,1189.1,0.696511628
Bajra,1997,Kharif     ,Madhya Pradesh,154100,1189.1,0.929473684
Barley,1997,Rabi       ,Madhya Pradesh,110500,1189.1,1.347096774
Cotton(lint),1997,Kharif     ,Madhya Pradesh,862000,1189.1,1.559
Groundnut,1997,Kharif     ,Madhya Pradesh,252100,1189.1,1.031142857
Jowar,1997,Kharif     ,Madhya Pradesh,658300,1189.1,0.864545455
Jowar,1997,Rabi       ,Madhya Pradesh,7200,1189.1,0.865
Linseed,1997,Rabi       ,Madhya Pradesh,97100,1189.1,0.37255814
Maize,1997,Kharif     ,Madhya Pradesh,1085400,1189.1,1.143023256
Rapeseed &Mustard,1997,Rabi       ,Madhya Pradesh,416300,1189.1,0.54025
Sesamum,1997,Kharif     ,Madhya Pradesh,44800,1189.1,0.295526316
Small millets,1997,Kharif     ,Madhya Pradesh,163300,1189.1,0.265333333
Soyabean,1997,Kharif     ,Madhya Pradesh,4845100,1189.1,0.969772727
Sunflower,1997,Kharif     ,Madhya Pradesh,3000,1189.1,0.446363636
Wheat,1997,Rabi       ,Madhya Pradesh,7088900,1189.1,1.475681818
Arhar/Tur,1997,Kharif     ,Maharashtra,348000,1156.1,0.3325
Bajra,1997,Kharif     ,Maharashtra,1119000,1156.1,0.632272727
Cotton(lint),1997,Whole Year ,Maharashtra,1753100,1156.1,95.99391304
Gram,1997,Kharif     ,Maharashtra,295900,1156.1,0.408148148
Jowar,1997,Kharif     ,Maharashtra,2632300,1156.1,1.6468
Jowar,1997,Rabi       ,Maharashtra,1357500,1156.1,0.442083333
Maize,1997,Autumn     ,Maharashtra,19695,1156.1,989.87
Maize,1997,Kharif     ,Maharashtra,219700,1156.1,1.082083333
Maize,1997,Rabi       ,Maharashtra,65400,1156.1,1.476875
Maize,1997,Summer     ,Maharashtra,12500,1156.1,1.407777778
Moong(Green Gram),1997,Kharif     ,Maharashtra,221000,1156.1,0.444444444
Other  Rabi pulses,1997,Rabi       ,Maharashtra,492,1156.1,0.0476
Ragi,1997,Kharif     ,Maharashtra,146800,1156.1,0.969090909
Rice,1997,Kharif     ,Maharashtra,2330000,1156.1,8.778275862
Rice,1997,Summer     ,Maharashtra,646,1156.1,2.018888889
Sugarcane,1997,Kharif     ,Maharashtra,158866,1156.1,0.863333333
Urad,1997,Kharif     ,Maharashtra,210300,1156.1,0.489310345
Wheat,1997,Rabi       ,Maharashtra,670600,1156.1,0.8476
Arhar/Tur,1997,Kharif     ,Mizoram,143,2644.2,2.013333333
Coconut ,1997,Kharif     ,Mizoram,40,2644.2,2.595
Groundnut,1997,Kharif     ,Mizoram,178,2644.2,1.483333333
Maize,1997,Kharif     ,Mizoram,16256,2644.2,2.0875
Maize,1997,Rabi       ,Mizoram,243,2644.2,2.15
Peas & beans (Pulses),1997,Kharif     ,Mizoram,271,2644.2,1.4825
Rapeseed &Mustard,1997,Kharif     ,Mizoram,440,2644.2,1.853333333
Rapeseed &Mustard,1997,Rabi       ,Mizoram,1340,2644.2,0.81
Rice,1997,Whole Year ,Mizoram,110573,2644.2,1.6
Sesamum,1997,Kharif     ,Mizoram,4443,2644.2,0.9
Soyabean,1997,Kharif     ,Mizoram,1614,2644.2,1.4925
Sugarcane,1997,Whole Year ,Mizoram,7488,2644.2,5.8
Sunflower,1997,Kharif     ,Mizoram,7,2644.2,1.25
Tapioca,1997,Whole Year ,Mizoram,6956,2644.2,9.34
Tobacco,1997,Rabi       ,Mizoram,415,2644.2,1.225
Wheat,1997,Rabi       ,Mizoram,11,2644.2,0.5
Arhar/Tur,1997,Kharif     ,Punjab,8200,690.1,0.766153846
Bajra,1997,Kharif     ,Punjab,8000,690.1,1
Barley,1997,Rabi       ,Punjab,111000,690.1,2.995454545
Cotton(lint),1997,Whole Year ,Punjab,937000,690.1,1.324
Gram,1997,Rabi       ,Punjab,11000,690.1,0.844615385
Groundnut,1997,Kharif     ,Punjab,8000,690.1,1
Maize,1997,Kharif     ,Punjab,345000,690.1,2.102727273
Masoor,1997,Rabi       ,Punjab,3400,690.1,0.72625
Moong(Green Gram),1997,Whole Year ,Punjab,31700,690.1,0.601666667
Rapeseed &Mustard,1997,Rabi       ,Punjab,63000,690.1,0.925882353
Rice,1997,Kharif     ,Punjab,7904000,690.1,3.476470588
Sesamum,1997,Kharif     ,Punjab,4500,690.1,0.447
Sugarcane,1997,Whole Year ,Punjab,7150000,690.1,58.046875
Urad,1997,Kharif     ,Punjab,1900,690.1,0.446666667
Wheat,1997,Rabi       ,Punjab,12715000,690.1,3.781176471
Arhar/Tur,1997,Kharif     ,Uttar Pradesh,480673,473.9,0.9
Bajra,1997,Kharif     ,Uttar Pradesh,1252811,473.9,1.324
Barley,1997,Rabi       ,Uttar Pradesh,747044,473.9,2.046329114
Castor seed,1997,Kharif     ,Uttar Pradesh,15,473.9,0.814285714
Gram,1997,Rabi       ,Uttar Pradesh,746516,473.9,0.823037975
Groundnut,1997,Kharif     ,Uttar Pradesh,124084,473.9,0.872727273
Jowar,1997,Kharif     ,Uttar Pradesh,353464,473.9,0.897647059
Linseed,1997,Rabi       ,Uttar Pradesh,34838,473.9,0.421320755
Maize,1997,Kharif     ,Uttar Pradesh,1598438,473.9,1.498125
Maize,1997,Summer     ,Uttar Pradesh,16398,473.9,1.577936508
Masoor,1997,Rabi       ,Uttar Pradesh,365390,473.9,0.76925
Moong(Green Gram),1997,Kharif     ,Uttar Pradesh,8446,473.9,0.332985075
Moong(Green Gram),1997,Summer     ,Uttar Pradesh,36738,473.9,0.476029412
Moth,1997,Kharif     ,Uttar Pradesh,571557,473.9,0.61474359
Onion,1997,Kharif     ,Uttar Pradesh,209189,473.9,10.23036364
Peas & beans (Pulses),1997,Rabi       ,Uttar Pradesh,497369,473.9,1.2715
Potato,1997,Whole Year ,Uttar Pradesh,5869975,473.9,13.6445
Rapeseed &Mustard,1997,Rabi       ,Uttar Pradesh,445133,473.9,0.61375
Rice,1997,Kharif     ,Uttar Pradesh,12262794,473.9,2.037
Rice,1997,Summer     ,Uttar Pradesh,18281,473.9,2.202903226
Sesamum,1997,Kharif     ,Uttar Pradesh,15976,473.9,0.1668
Small millets,1997,Kharif     ,Uttar Pradesh,285040,473.9,0.90877193
Soyabean,1997,Kharif     ,Uttar Pradesh,51936,473.9,0.875641026
Sugarcane,1997,Kharif     ,Uttar Pradesh,379133,473.9,56.43
Sugarcane,1997,Whole Year ,Uttar Pradesh,121066703,473.9,53.15815789
Sunflower,1997,Rabi       ,Uttar Pradesh,35701,473.9,1.320833333
Urad,1997,Kharif     ,Uttar Pradesh,134619,473.9,0.477125
Urad,1997,Summer     ,Uttar Pradesh,33793,473.9,0.466567164
Wheat,1997,Rabi       ,Uttar Pradesh,22830886,473.9,2.416
Arhar/Tur,1998,Kharif     ,Andhra Pradesh,169100,1048.3,0.461818182
Arhar/Tur,1998,Rabi       ,Andhra Pradesh,1600,1048.3,0.56
Bajra,1998,Kharif     ,Andhra Pradesh,114500,1048.3,0.988235294
Bajra,1998,Rabi       ,Andhra Pradesh,4600,1048.3,0.905714286
Castor seed,1998,Kharif     ,Andhra Pradesh,45500,1048.3,0.266
Cotton(lint),1998,Kharif     ,Andhra Pradesh,1522100,1048.3,1.093809524
Dry chillies,1998,Kharif     ,Andhra Pradesh,395000,1048.3,2.289
Dry chillies,1998,Rabi       ,Andhra Pradesh,130400,1048.3,2.053181818
Gram,1998,Kharif     ,Andhra Pradesh,100,1048.3,1
Gram,1998,Rabi       ,Andhra Pradesh,129900,1048.3,0.95375
Groundnut,1998,Kharif     ,Andhra Pradesh,1570600,1048.3,0.901818182
Groundnut,1998,Rabi       ,Andhra Pradesh,584500,1048.3,1.564090909
Horse-gram,1998,Kharif     ,Andhra Pradesh,7900,1048.3,0.44
Horse-gram,1998,Rabi       ,Andhra Pradesh,27800,1048.3,0.360952381
Jowar,1998,Kharif     ,Andhra Pradesh,246300,1048.3,0.575
Jowar,1998,Rabi       ,Andhra Pradesh,276600,1048.3,0.802
Maize,1998,Kharif     ,Andhra Pradesh,1019800,1048.3,2.479545455
Maize,1998,Rabi       ,Andhra Pradesh,363700,1048.3,4.245
Mesta,1998,Kharif     ,Andhra Pradesh,541300,1048.3,7.7425
Moong(Green Gram),1998,Kharif     ,Andhra Pradesh,163500,1048.3,0.560909091
Moong(Green Gram),1998,Rabi       ,Andhra Pradesh,53900,1048.3,0.354285714
Other  Rabi pulses,1998,Rabi       ,Andhra Pradesh,600,1048.3,0.145
Other Kharif pulses,1998,Kharif     ,Andhra Pradesh,2100,1048.3,0.189090909
Ragi,1998,Kharif     ,Andhra Pradesh,90800,1048.3,1.040909091
Ragi,1998,Rabi       ,Andhra Pradesh,31200,1048.3,1.966363636
Rice,1998,Kharif     ,Andhra Pradesh,7005800,1048.3,2.47
Rice,1998,Rabi       ,Andhra Pradesh,4872200,1048.3,2.986086957
Sesamum,1998,Kharif     ,Andhra Pradesh,9200,1048.3,0.191666667
Sesamum,1998,Rabi       ,Andhra Pradesh,28500,1048.3,0.242
Small millets,1998,Kharif     ,Andhra Pradesh,2200,1048.3,0.71
Sugarcane,1998,Whole Year ,Andhra Pradesh,16501700,1048.3,81.223
Sunflower,1998,Kharif     ,Andhra Pradesh,153600,1048.3,0.746842105
Sunflower,1998,Rabi       ,Andhra Pradesh,44800,1048.3,0.385
Tobacco,1998,Whole Year ,Andhra Pradesh,246100,1048.3,1.503684211
Urad,1998,Kharif     ,Andhra Pradesh,30900,1048.3,0.658823529
Urad,1998,Rabi       ,Andhra Pradesh,230600,1048.3,0.544117647
Wheat,1998,Rabi       ,Andhra Pradesh,6400,1048.3,0.468888889
Arhar/Tur,1998,Kharif     ,Bihar,98963,1332.5,1.447037037
Bajra,1998,Kharif     ,Bihar,3640,1332.5,0.578787879
Banana,1998,Whole Year ,Bihar,323667,1332.5,17.85958333
Barley,1998,Rabi       ,Bihar,47295,1332.5,1.191346154
Castor seed,1998,Kharif     ,Bihar,810,1332.5,0.835454545
Coriander,1998,Whole Year ,Bihar,1821,1332.5,0.680512821
Cotton(lint),1998,Kharif     ,Bihar,88,1332.5,2.05
Dry chillies,1998,Whole Year ,Bihar,6362,1332.5,0.970666667
Garlic,1998,Whole Year ,Bihar,4252,1332.5,1.415365854
Ginger,1998,Whole Year ,Bihar,1116,1332.5,1.4005
Gram,1998,Rabi       ,Bihar,118982,1332.5,0.923148148
Groundnut,1998,Kharif     ,Bihar,6149,1332.5,1.008823529
Jowar,1998,Kharif     ,Bihar,2477,1332.5,0.97
Jute,1998,Kharif     ,Bihar,695831,1332.5,5.061176471
Linseed,1998,Rabi       ,Bihar,36567,1332.5,0.641153846
Maize,1998,Kharif     ,Bihar,395957,1332.5,1.276363636
Maize,1998,Rabi       ,Bihar,541979,1332.5,2.834545455
Maize,1998,Summer     ,Bihar,364449,1332.5,2.175306122
Mesta,1998,Kharif     ,Bihar,121098,1332.5,6.356896552
Niger seed,1998,Kharif     ,Bihar,15888,1332.5,0.6045
Onion,1998,Whole Year ,Bihar,192991,1332.5,9.368181818
Other  Rabi pulses,1998,Rabi       ,Bihar,477621,1332.5,0.799056604
Other Kharif pulses,1998,Kharif     ,Bihar,96737,1332.5,0.621730769
Potato,1998,Whole Year ,Bihar,1721987,1332.5,9.751454545
Ragi,1998,Kharif     ,Bihar,60565,1332.5,0.8698
Rapeseed &Mustard,1998,Rabi       ,Bihar,88517,1332.5,0.809259259
Rice,1998,Summer     ,Bihar,270992,1332.5,1.765777778
Rice,1998,Winter     ,Bihar,5722449,1332.5,1.242909091
Safflower,1998,Rabi       ,Bihar,407,1332.5,0.595714286
Sannhamp,1998,Whole Year ,Bihar,2380,1332.5,0.535833333
Sesamum,1998,Kharif     ,Bihar,9535,1332.5,0.562765957
Small millets,1998,Kharif     ,Bihar,18325,1332.5,0.6296
Sugarcane,1998,Whole Year ,Bihar,5101066,1332.5,39.29543478
Sunflower,1998,Kharif     ,Bihar,18036,1332.5,0.85775
Sweet potato,1998,Whole Year ,Bihar,193770,1332.5,11.04475
Tobacco,1998,Whole Year ,Bihar,13380,1332.5,0.816111111
Turmeric,1998,Whole Year ,Bihar,3288,1332.5,1.114615385
Urad,1998,Kharif     ,Bihar,18601,1332.5,0.751612903
Wheat,1998,Rabi       ,Bihar,4403655,1332.5,1.889272727
Arhar/Tur,1998,Kharif     ,Gujarat,342700,775.6,1.012777778
Bajra,1998,Kharif     ,Gujarat,851900,775.6,1.038125
Bajra,1998,Summer     ,Gujarat,428600,775.6,2.252142857
Banana,1998,Whole Year ,Gujarat,1204800,775.6,63.259
Castor seed,1998,Kharif     ,Gujarat,694500,775.6,2.431764706
Cotton(lint),1998,Kharif     ,Gujarat,3903000,775.6,2.73
Dry chillies,1998,Whole Year ,Gujarat,18600,775.6,1.004444444
Garlic,1998,Whole Year ,Gujarat,198500,775.6,6.504
Gram,1998,Rabi       ,Gujarat,125300,775.6,0.750588235
Groundnut,1998,Kharif     ,Gujarat,2368100,775.6,1.247894737
Groundnut,1998,Summer     ,Gujarat,209700,775.6,1.553684211
Jowar,1998,Kharif     ,Gujarat,160500,775.6,0.908823529
Jowar,1998,Rabi       ,Gujarat,51500,775.6,0.822727273
Maize,1998,Kharif     ,Gujarat,696000,775.6,1.649411765
Moong(Green Gram),1998,Kharif     ,Gujarat,69100,775.6,0.565
Moth,1998,Kharif     ,Gujarat,13900,775.6,0.331333333
Oilseeds total,1998,Whole Year ,Gujarat,3845031,775.6,1.342105263
Onion,1998,Whole Year ,Gujarat,1462100,775.6,30.61888889
Other  Rabi pulses,1998,Rabi       ,Gujarat,1600,775.6,0.542857143
Other Cereals,1998,Kharif     ,Gujarat,4600,775.6,0.32375
Other Kharif pulses,1998,Kharif     ,Gujarat,5700,775.6,0.395714286
Potato,1998,Whole Year ,Gujarat,712900,775.6,22.369
Ragi,1998,Kharif     ,Gujarat,20400,775.6,0.853333333
Rapeseed &Mustard,1998,Rabi       ,Gujarat,466000,775.6,1.378125
Rice,1998,Kharif     ,Gujarat,1015900,775.6,1.695384615
Sesamum,1998,Kharif     ,Gujarat,136900,775.6,0.542352941
Small millets,1998,Kharif     ,Gujarat,4600,775.6,0.32375
Small millets,1998,Rabi       ,Gujarat,1000,775.6,0.46
Sugarcane,1998,Whole Year ,Gujarat,13565000,775.6,70.090625
Tobacco,1998,Whole Year ,Gujarat,184700,775.6,1.80125
Urad,1998,Kharif     ,Gujarat,75200,775.6,0.592941176
Wheat,1998,Rabi       ,Gujarat,1702600,775.6,2.425263158
Arhar/Tur,1998,Kharif     ,Haryana,13500,687.6,0.905789474
Bajra,1998,Kharif     ,Haryana,618800,687.6,1.006842105
Barley,1998,Rabi       ,Haryana,100000,687.6,1.647894737
Cotton(lint),1998,Kharif     ,Haryana,874000,687.6,0.748421053
Dry chillies,1998,Whole Year ,Haryana,1600,687.6,0.728888889
Gram,1998,Rabi       ,Haryana,294000,687.6,0.568421053
Groundnut,1998,Kharif     ,Haryana,800,687.6,0.274615385
Jowar,1998,Kharif     ,Haryana,25000,687.6,0.101666667
Maize,1998,Kharif     ,Haryana,39000,687.6,0.938235294
Masoor,1998,Rabi       ,Haryana,7600,687.6,0.833333333
Moong(Green Gram),1998,Kharif     ,Haryana,5400,687.6,0.097857143
Moth,1998,Kharif     ,Haryana,400,687.6,0.028571429
Onion,1998,Whole Year ,Haryana,59700,687.6,13.94882353
Peas & beans (Pulses),1998,Rabi       ,Haryana,1800,687.6,0.848571429
Potato,1998,Whole Year ,Haryana,212700,687.6,14.64631579
Rapeseed &Mustard,1998,Rabi       ,Haryana,615000,687.6,1.094210526
Rice,1998,Kharif     ,Haryana,2432000,687.6,2.286666667
Sannhamp,1998,Whole Year ,Haryana,200,687.6,0.065833333
Sesamum,1998,Kharif     ,Haryana,1000,687.6,0.177894737
Sugarcane,1998,Whole Year ,Haryana,7010000,687.6,51.58421053
Sunflower,1998,Rabi       ,Haryana,35700,687.6,0.977
Sweet potato,1998,Whole Year ,Haryana,1500,687.6,14.696
Urad,1998,Kharif     ,Haryana,500,687.6,0.151
Wheat,1998,Rabi       ,Haryana,8563000,687.6,3.825789474
Arhar/Tur,1998,Kharif     ,Himachal Pradesh,30,1381.6,0.255
Bajra,1998,Kharif     ,Himachal Pradesh,266,1381.6,1.476666667
Barley,1998,Rabi       ,Himachal Pradesh,27756,1381.6,1.112727273
Coriander,1998,Rabi       ,Himachal Pradesh,128,1381.6,0.512857143
Cotton(lint),1998,Whole Year ,Himachal Pradesh,30,1381.6,0.548333333
Dry chillies,1998,Whole Year ,Himachal Pradesh,224,1381.6,0.205
Garlic,1998,Whole Year ,Himachal Pradesh,700,1381.6,1.087272727
Ginger,1998,Whole Year ,Himachal Pradesh,2631,1381.6,1.19
Gram,1998,Rabi       ,Himachal Pradesh,1653,1381.6,0.734444444
Groundnut,1998,Kharif     ,Himachal Pradesh,286,1381.6,0.714285714
Horse-gram,1998,Kharif     ,Himachal Pradesh,1475,1381.6,0.467
Linseed,1998,Rabi       ,Himachal Pradesh,617,1381.6,0.294
Maize,1998,Kharif     ,Himachal Pradesh,662272,1381.6,2.23
Masoor,1998,Rabi       ,Himachal Pradesh,518,1381.6,0.546363636
Moong(Green Gram),1998,Kharif     ,Himachal Pradesh,25,1381.6,0.375
Peas & beans (Pulses),1998,Rabi       ,Himachal Pradesh,10919,1381.6,1.848333333
Potato,1998,Kharif     ,Himachal Pradesh,124547,1381.6,11.007
Potato,1998,Rabi       ,Himachal Pradesh,28756,1381.6,10.772
Rapeseed &Mustard,1998,Rabi       ,Himachal Pradesh,5733,1381.6,0.745833333
Rice,1998,Kharif     ,Himachal Pradesh,116997,1381.6,1.455454545
Sesamum,1998,Kharif     ,Himachal Pradesh,2122,1381.6,0.397777778
Small millets,1998,Kharif     ,Himachal Pradesh,9881,1381.6,0.436
Soyabean,1998,Kharif     ,Himachal Pradesh,1153,1381.6,2.537142857
Tobacco,1998,Whole Year ,Himachal Pradesh,20,1381.6,0.63
Turmeric,1998,Whole Year ,Himachal Pradesh,59,1381.6,0.67
Urad,1998,Kharif     ,Himachal Pradesh,6167,1381.6,0.512727273
Wheat,1998,Rabi       ,Himachal Pradesh,481267,1381.6,1.363333333
Arhar/Tur,1998,Kharif     ,Madhya Pradesh,330500,962.7,0.917166667
Bajra,1998,Kharif     ,Madhya Pradesh,172300,962.7,0.913478261
Barley,1998,Rabi       ,Madhya Pradesh,105700,962.7,1.371714286
Cotton(lint),1998,Kharif     ,Madhya Pradesh,72700,962.7,0.138333333
Gram,1998,Rabi       ,Madhya Pradesh,2533700,962.7,0.872881356
Groundnut,1998,Kharif     ,Madhya Pradesh,266000,962.7,1.080434783
Jowar,1998,Kharif     ,Madhya Pradesh,721900,962.7,1.07862069
Jowar,1998,Rabi       ,Madhya Pradesh,9100,962.7,1.106363636
Linseed,1998,Rabi       ,Madhya Pradesh,111200,962.7,0.402280702
Maize,1998,Kharif     ,Madhya Pradesh,1171600,962.7,1.294035088
Rapeseed &Mustard,1998,Rabi       ,Madhya Pradesh,574100,962.7,0.688703704
Rice,1998,Kharif     ,Madhya Pradesh,3346300,962.7,0.586785714
Sesamum,1998,Kharif     ,Madhya Pradesh,40300,962.7,0.257413793
Small millets,1998,Kharif     ,Madhya Pradesh,189800,962.7,0.298780488
Soyabean,1998,Kharif     ,Madhya Pradesh,4639100,962.7,0.825961538
Sugarcane,1998,Whole Year ,Madhya Pradesh,1609360,962.7,17.87372881
Sunflower,1998,Kharif     ,Madhya Pradesh,2500,962.7,0.267333333
Wheat,1998,Rabi       ,Madhya Pradesh,8179600,962.7,1.618983051
Arhar/Tur,1998,Kharif     ,Maharashtra,808900,1314.8,0.6425
Bajra,1998,Kharif     ,Maharashtra,1492500,1314.8,0.739545455
Castor seed,1998,Kharif     ,Maharashtra,2900,1314.8,0.277
Cotton(lint),1998,Kharif     ,Maharashtra,2618900,1314.8,1.040434783
Gram,1998,Rabi       ,Maharashtra,561900,1314.8,0.615714286
Groundnut,1998,Kharif     ,Maharashtra,474600,1314.8,0.877777778
Groundnut,1998,Summer     ,Maharashtra,192700,1314.8,1.293103448
Jowar,1998,Kharif     ,Maharashtra,2785300,1314.8,1.37375
Jowar,1998,Rabi       ,Maharashtra,1698300,1314.8,0.6376
Linseed,1998,Rabi       ,Maharashtra,27500,1314.8,0.288
Maize,1998,Kharif     ,Maharashtra,400400,1314.8,1.952608696
Maize,1998,Rabi       ,Maharashtra,87600,1314.8,1.399444444
Maize,1998,Summer     ,Maharashtra,17500,1314.8,1.426666667
Moong(Green Gram),1998,Kharif     ,Maharashtra,375700,1314.8,0.603928571
Niger seed,1998,Kharif     ,Maharashtra,18700,1314.8,0.3065
Other  Rabi pulses,1998,Rabi       ,Maharashtra,55900,1314.8,0.50037037
Other Cereals,1998,Kharif     ,Maharashtra,72700,1314.8,0.646
Other Cereals,1998,Rabi       ,Maharashtra,23400,1314.8,1.0475
Other Kharif pulses,1998,Kharif     ,Maharashtra,116900,1314.8,0.407586207
Ragi,1998,Kharif     ,Maharashtra,159100,1314.8,1.03
Rapeseed &Mustard,1998,Rabi       ,Maharashtra,2400,1314.8,0.178076923
Rice,1998,Kharif     ,Maharashtra,2395100,1314.8,1.267241379
Rice,1998,Summer     ,Maharashtra,72500,1314.8,2.053333333
Safflower,1998,Rabi       ,Maharashtra,176300,1314.8,0.580434783
Sesamum,1998,Kharif     ,Maharashtra,41400,1314.8,0.33
Sesamum,1998,Rabi       ,Maharashtra,2000,1314.8,0.168421053
Soyabean,1998,Kharif     ,Maharashtra,1471900,1314.8,1.3276
Sugarcane,1998,Kharif     ,Maharashtra,47151100,1314.8,84.55434783
Sunflower,1998,Kharif     ,Maharashtra,56300,1314.8,0.3435
Sunflower,1998,Rabi       ,Maharashtra,129900,1314.8,0.5684
Sunflower,1998,Summer     ,Maharashtra,12000,1314.8,0.839047619
Urad,1998,Kharif     ,Maharashtra,338000,1314.8,0.601724138
